encoder,video,rho,p,n,vel_mean,flow_mean
dinov2_vits14,video49,0.5504063866594077,6.808884139864704e-133,1670,0.496572345495224,3.6640325992764113
dinov2_vits14,video52,0.40121963461398463,6.836731934383994e-77,1965,0.44569456577301025,5.2346479968108595
dinov2_vits14,video55,0.546768491450056,8.056960654145349e-82,1036,0.49208781123161316,4.592254584101406
dinov2_vits14,video59,0.42241443981093424,1.782851858205658e-46,1045,0.4453045129776001,5.7786271180832784
dinov2_vits14,video62,0.5013790327538451,9.662978885975408e-130,2031,0.4450523257255554,5.730693129704305
dinov2_vits14,video66,0.35184121814178954,2.9340494923349063e-54,1823,0.49918368458747864,5.787035574085165
dinov2_vits14,video69,0.5347494840527437,0.0,4574,0.41749611496925354,4.971753424974211
dinov2_vits14,video73,0.4594163856044909,1.0514587678687984e-71,1355,0.5064912438392639,3.840132422009792
dinov2_vits14,video76,0.44369062702667067,3.8080921165921514e-128,2648,0.5000938773155212,3.901679222497335
dinov2_vits14,video80,0.498166860008039,9.698436767487732e-109,1723,0.4230392277240753,6.161044092523501
clip_vitb16,video49,0.48264221530315965,3.567051157011212e-98,1670,0.2805587649345398,3.6640325992764113
clip_vitb16,video52,0.33398296214040774,2.069285465176978e-52,1965,0.24180017411708832,5.2346479968108595
clip_vitb16,video55,0.47014883856106443,4.307553490453295e-58,1036,0.26711663603782654,4.592254584101406
clip_vitb16,video59,0.35029692286062586,1.5668826517133511e-31,1045,0.2503413259983063,5.7786271180832784
clip_vitb16,video62,0.39016590114770255,7.837638335022473e-75,2031,0.2349085658788681,5.730693129704305
clip_vitb16,video66,0.24313582809788845,6.125974881348282e-26,1823,0.25444480776786804,5.787035574085165
clip_vitb16,video69,0.4616313961837351,2.984178351260379e-240,4574,0.23563624918460846,4.971753424974211
clip_vitb16,video73,0.3813314361582175,3.854260732637046e-48,1355,0.29963693022727966,3.840132422009792
clip_vitb16,video76,0.36838738783314107,6.671919854733563e-86,2648,0.27370092272758484,3.901679222497335
clip_vitb16,video80,0.4031734238209837,2.4202429320956424e-68,1723,0.2806476354598999,6.161044092523501
endovit_vitb16,video49,0.536439771148889,4.437312880015258e-125,1670,0.033575791865587234,3.6640325992764113
endovit_vitb16,video52,0.5269628032201094,7.420487013958622e-141,1965,0.0325445681810379,5.2346479968108595
endovit_vitb16,video55,0.5309239628890795,2.100206128712261e-76,1036,0.034401360899209976,4.592254584101406
endovit_vitb16,video59,0.42255858722911493,1.6496387165880462e-46,1045,0.03512732312083244,5.7786271180832784
endovit_vitb16,video62,0.49101643103708964,1.0124436186071791e-123,2031,0.031103845685720444,5.730693129704305
endovit_vitb16,video66,0.3670265857050829,3.1038706809471314e-59,1823,0.03572145476937294,5.787035574085165
endovit_vitb16,video69,0.6007330261212653,0.0,4574,0.029491716995835304,4.971753424974211
endovit_vitb16,video73,0.5164376405662595,3.0355426286619887e-93,1355,0.03275550901889801,3.840132422009792
endovit_vitb16,video76,0.5340438728026982,3.519420756990976e-195,2648,0.02867773361504078,3.901679222497335
endovit_vitb16,video80,0.45960324080431486,8.79099897068767e-91,1723,0.040506213903427124,6.161044092523501
